REF_YR,kategori,beskrivelse,Indkomstgruppe,forbrug,gns_pris_indeks,inflation_t_tminus1,inflation_t_tplus1
2006,01.1,Foedevarer,1,20183,80.98333333333333,,4.45
2006,01.2,Ikke-alkoholiske drikkevarer,1,2180,82.675,,4.191666666666666
2006,02.1,Alkoholiske drikkevarer,1,2467,82.44166666666666,,1.741666666666667
2006,02.2,Tobak,1,4324,67.21666666666667,,1.716666666666667
2006,03.1,Beklaedning,1,5573,104.4833333333333,,-2.991666666666667
2006,03.2,Fodtoej,1,2057,67.56666666666666,,4.991666666666666
2006,04.1,Faktisk husleje,1,37822,80.47499999999999,,2.066666666666667
2006,04.2,Beregnet lejevaerdi af bolig,1,9476,80.375,,2.083333333333333
2006,04.3,Vedligeholdelse og reparation af bolig,1,1940,79.13333333333334,,5.025
2006,04.4,Vandforsyning og andre tjenester i forbindelse med boligen,1,4423,73.05,,8.300000000000001
2006,04.5,"Elektricitet, gas og andet braendsel",1,16044,82.54166666666667,,.2916666666666665
2006,05.1,"Moebler og boligudstyr, taepper og anden gulvbelgning",1,3082,94.575,,.4166666666666666
2006,05.2,Boligtekstiler,1,819,87.02500000000001,,.0416666666666667
2006,05.3,Husholdningsapparater og reparation heraf,1,973,104.7583333333333,,.5166666666666668
2006,05.4,"Glas, service og husholdningsredskaber",1,828,85.19166666666666,,2.341666666666667
2006,05.5,Vaerktoej og udstyr til hus og have,1,577,90.73333333333333,,.8166666666666668
2006,05.6,Andre varer og tjenester til husholdningen,1,1636,85.94166666666666,,2.45
2006,06.1,"Medicinske produkter, apparater og medicinsk udstyr",1,2992,96.63333333333333,,-2.183333333333334
2006,06.2,Ambulant behandling,1,2354,82.59999999999999,,2.65
2006,06.3,Hospitalstjenester,1,18,90.04166666666667,,2.658333333333333
2006,07.1,koeb af koeretoejer,1,2774,106.0083333333333,,-.8916666666666665
2006,07.2,Drift af personlige transportmidler,1,8901,81.15833333333333,,2.741666666666666
2006,07.3,Transporttjenester,1,5299,80.65833333333333,,4.683333333333334
2006,08.1,Posttjenester,1,318,56,,2.325
2006,08.2,Telefon- og telefaxudstyr,1,113,204.2333333333333,,-12.13333333333334
2006,08.3,Teletjenester,1,4347,115.6166666666667,,-.8083333333333332
2006,09.1,Audiovisuelt og fotografisk udstyr og dataudstyr,1,1730,209.2333333333333,,-10.18333333333333
2006,09.2,Andre stoerre varige forbrugsgoder til fritids- og kulturaktiviteter,1,616,96.27500000000001,,.5083333333333334
2006,09.3,"Andet tilbehoer og udstyr til fritid, haver og kaeledyr",1,3377,101.6916666666667,,1.825
2006,09.4,Fritids- og kulturtjenester,1,7253,74.66666666666667,,4.8
2006,09.5,"Aviser, boeger og papirvarer",1,3517,71.59999999999999,,4.8
2006,09.6,Pakkerejser,1,1833,85.55833333333334,,3.25
2006,10.,Uddannelse,1,637,72.59999999999999,,4.100000000000001
2006,11.1,"Restauranter, cafeer og kantiner mv.",1,6719,79.98333333333333,,2.416666666666667
2006,11.2,Overnatningsfaciliteter,1,527,97.95,,3.758333333333334
2006,12.1,Personlig pleje,1,3926,89.7,,2.691666666666667
2006,12.3,Andre personlige effekter,1,900,79.44166666666666,,3.6
2006,12.4,Daginstitutioner og social forsorg,1,742,75.83333333333333,,2.566666666666667
2006,12.5,Forsikring,1,6189,79.3,,1.225
2006,12.6,Finansielle tjenester,1,368,78.05,,-4.183333333333334
2006,12.7,Andre tjenester,1,458,72.03333333333333,,5.866666666666666
2006,01.1,Foedevarer,2,29784,81.45833333333333,,4.266666666666667
2006,01.2,Ikke-alkoholiske drikkevarer,2,2846,83.51666666666667,,5.016666666666667
2006,02.1,Alkoholiske drikkevarer,2,3806,82.77500000000001,,1.625
2006,02.2,Tobak,2,6559,68,,1.766666666666667
2006,03.1,Beklaedning,2,7560,104.025,,-2.858333333333333
2006,03.2,Fodtoej,2,3501,67.375,,4.541666666666667
2006,04.1,Faktisk husleje,2,30635,80.64166666666667,,2.025
2006,04.2,Beregnet lejevaerdi af bolig,2,22974,80.375,,2.083333333333333
