"2006","Under 250.000 kr.","FORBRUG I ALT",180310
"2006","Under 250.000 kr.","01.1 Fødevarer",20183
"2006","Under 250.000 kr.","01.2 Ikke-alkoholiske drikkevarer",2180
"2006","Under 250.000 kr.","02.1 Alkoholiske drikkevarer",2467
"2006","Under 250.000 kr.","02.2 Tobak",4324
"2006","Under 250.000 kr.","02.3 Euforiserende stoffer",0
"2006","Under 250.000 kr.","03.1 Beklædning",5573
"2006","Under 250.000 kr.","03.2 Fodtøj",2057
"2006","Under 250.000 kr.","04.1 Faktisk husleje",37822
"2006","Under 250.000 kr.","04.2 Beregnet lejeværdi af bolig",9476
"2006","Under 250.000 kr.","04.3 Vedligeholdelse og reparation af bolig",1940
"2006","Under 250.000 kr.","04.4 Vandforsyning og andre tjenester i forbindelse med boligen",4423
"2006","Under 250.000 kr.","04.5 Elektricitet, gas og andet brændsel",16044
"2006","Under 250.000 kr.","05.1 Møbler og boligudstyr, tæpper og anden gulvbelægning",3082
"2006","Under 250.000 kr.","05.2 Boligtekstiler",819
"2006","Under 250.000 kr.","05.3 Husholdningsapparater og reparation heraf",973
"2006","Under 250.000 kr.","05.4 Glas, service og husholdningsredskaber",828
"2006","Under 250.000 kr.","05.5 Værktøj og udstyr til hus og have",577
"2006","Under 250.000 kr.","05.6 Andre varer og tjenester til husholdningen",1636
"2006","Under 250.000 kr.","06.1 Medicinske produkter, apparater og medicinsk udstyr",2992
"2006","Under 250.000 kr.","06.2 Ambulant behandling",2354
"2006","Under 250.000 kr.","06.3 Hospitalstjenester",18
"2006","Under 250.000 kr.","07.1 Køb af køretøjer",2774
"2006","Under 250.000 kr.","07.2 Drift af personlige transportmidler",8901
"2006","Under 250.000 kr.","07.3 Transporttjenester",5299
"2006","Under 250.000 kr.","08.1 Posttjenester",318
"2006","Under 250.000 kr.","08.2 Telefon- og telefaxudstyr",113
"2006","Under 250.000 kr.","08.3 Teletjenester",4347
"2006","Under 250.000 kr.","09.1 Audiovisuelt og fotografisk udstyr og dataudstyr",1730
"2006","Under 250.000 kr.","09.2 Andre større varige forbrugsgoder til fritids- og kulturaktiviteter",616
"2006","Under 250.000 kr.","09.3 Andet tilbehør og udstyr til fritid, haver og kæledyr",3377
"2006","Under 250.000 kr.","09.4 Fritids- og kulturtjenester",7253
"2006","Under 250.000 kr.","09.5 Aviser, bøger og papirvarer",3517
"2006","Under 250.000 kr.","09.6 Pakkerejser",1833
"2006","Under 250.000 kr.","10.1 Førskoleundervisning og primær undervisning",12
"2006","Under 250.000 kr.","10.2 Ungdomsuddannelse",32
"2006","Under 250.000 kr.","10.4 Videregående uddannelse",330
"2006","Under 250.000 kr.","10.5 Undervisning uden for niveau",263
"2006","Under 250.000 kr.","11.1 Restauranter, cafeer og kantiner mv.",6719
"2006","Under 250.000 kr.","11.2 Overnatningsfaciliteter",527
"2006","Under 250.000 kr.","12.1 Personlig pleje",3926
"2006","Under 250.000 kr.","12.2 Prostitution",0
"2006","Under 250.000 kr.","12.3 Andre personlige effekter",900
"2006","Under 250.000 kr.","12.4 Daginstitutioner og social forsorg",742
"2006","Under 250.000 kr.","12.5 Forsikring",6189
"2006","Under 250.000 kr.","12.6 Finansielle tjenester",368
"2006","Under 250.000 kr.","12.7 Andre tjenester",458
"2006","250.000 - 449.999 kr.","FORBRUG I ALT",275252
"2006","250.000 - 449.999 kr.","01.1 Fødevarer",29784
"2006","250.000 - 449.999 kr.","01.2 Ikke-alkoholiske drikkevarer",2846
"2006","250.000 - 449.999 kr.","02.1 Alkoholiske drikkevarer",3806
"2006","250.000 - 449.999 kr.","02.2 Tobak",6559
"2006","250.000 - 449.999 kr.","02.3 Euforiserende stoffer",0
"2006","250.000 - 449.999 kr.","03.1 Beklædning",7560
"2006","250.000 - 449.999 kr.","03.2 Fodtøj",3501
"2006","250.000 - 449.999 kr.","04.1 Faktisk husleje",30635
"2006","250.000 - 449.999 kr.","04.2 Beregnet lejeværdi af bolig",22974
"2006","250.000 - 449.999 kr.","04.3 Vedligeholdelse og reparation af bolig",4028
"2006","250.000 - 449.999 kr.","04.4 Vandforsyning og andre tjenester i forbindelse med boligen",6559
"2006","250.000 - 449.999 kr.","04.5 Elektricitet, gas og andet brændsel",22898
"2006","250.000 - 449.999 kr.","05.1 Møbler og boligudstyr, tæpper og anden gulvbelægning",4956
"2006","250.000 - 449.999 kr.","05.2 Boligtekstiler",829
"2006","250.000 - 449.999 kr.","05.3 Husholdningsapparater og reparation heraf",1694
"2006","250.000 - 449.999 kr.","05.4 Glas, service og husholdningsredskaber",1403
"2006","250.000 - 449.999 kr.","05.5 Værktøj og udstyr til hus og have",1267
"2006","250.000 - 449.999 kr.","05.6 Andre varer og tjenester til husholdningen",2521
"2006","250.000 - 449.999 kr.","06.1 Medicinske produkter, apparater og medicinsk udstyr",5004
"2006","250.000 - 449.999 kr.","06.2 Ambulant behandling",3653
"2006","250.000 - 449.999 kr.","06.3 Hospitalstjenester",133
"2006","250.000 - 449.999 kr.","07.1 Køb af køretøjer",14400
"2006","250.000 - 449.999 kr.","07.2 Drift af personlige transportmidler",19792
"2006","250.000 - 449.999 kr.","07.3 Transporttjenester",4997
"2006","250.000 - 449.999 kr.","08.1 Posttjenester",582
"2006","250.000 - 449.999 kr.","08.2 Telefon- og telefaxudstyr",187
