"Husstandsopdelte forbrugerprisindeks (2015=100) efter enhed,"
"husstandsgrupper, varegruppe og tid"

" "," "," ","2015M01","2015M02","2015M03","2015M04","2015M05","2015M06","2015M07","2015M08","2015M09","2015M10","2015M11","2015M12"
"Ændring i forhold til samme måned året før (pct.)"
" ","Under 250.000 kr."
" "," ","00 Forbrugerprisindekset i alt",0.3,0.5,0.8,0.8,0.8,0.7,0.6,0.6,0.6,0.4,0.3,0.4
" "," ","01 Fødevarer og ikke-alkoholiske drikkevarer",0.5,0.6,1.4,1.7,1.3,1.4,1.1,0.8,1.4,1.1,0.6,1.0
" "," ","01.1 Fødevarer",0.8,0.4,1.4,1.4,1.6,2.1,1.3,1.1,1.5,1.2,1.0,1.7
" "," ","01.2 Ikke-alkoholiske drikkevarer",-1.3,1.8,1.9,3.2,-0.6,-2.3,-0.2,-1.1,0.5,0.7,-1.8,-3.8
" "," ","02. Alkoholiske drikkevarer og tobak",-0.6,-0.8,-0.3,0.1,0.2,-0.2,0.0,0.5,1.0,0.6,0.9,0.5
" "," ","02.1 Alkoholiske drikkevarer",-2.1,-2.9,-1.7,-0.4,-1.0,-1.9,-1.2,0.1,1.6,0.3,1.1,0.1
" "," ","02.2 Tobak",0.3,0.5,0.4,0.4,0.9,0.8,0.8,0.7,0.8,0.9,0.9,0.7
" "," ","03. Beklædning og fodtøj",-1.0,1.4,1.5,0.8,0.9,0.5,3.8,2.7,0.4,1.1,0.2,1.2
" "," ","03.1 Beklædning",-2.5,-0.1,0.1,-0.5,-0.2,-1.1,2.1,1.1,-1.1,-0.5,-1.2,-0.1
" "," ","03.2 Fodtøj",6.3,8.9,8.3,5.9,5.0,6.7,9.8,8.1,6.7,6.7,5.5,6.6
" "," ","04. Boligbenyttelse, elektricitet og opvarmning",0.4,0.4,0.4,0.1,0.1,0.2,0.1,-0.1,0.2,-0.3,-0.2,-0.2
" "," ","04.1 Faktisk husleje",1.8,1.9,1.8,1.9,1.8,1.8,1.8,1.7,1.8,1.8,1.9,1.8
" "," ","04.2 Beregnet lejeværdi af bolig",1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
" "," ","04.3 Vedligeholdelse og reparation af bolig",1.8,2.1,1.2,1.7,2.3,1.6,1.2,1.2,1.0,1.9,2.1,1.8
" "," ","04.4 Vandforsyning og andre tjenester i forbindelse med boligen",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
" "," ","04.5 Elektricitet, gas og andet brændsel",-4.3,-4.4,-4.3,-5.6,-5.4,-5.6,-5.4,-6.0,-5.0,-7.3,-7.5,-7.4
" "," ","05. Møbler, husholdningsudstyr og husholdningstjenester",-0.3,1.7,1.4,1.0,0.8,3.1,1.8,0.7,1.8,1.7,0.6,1.3
" "," ","05.1 Møbler og boligudstyr, tæpper og anden gulvbelægning",-0.8,3.1,3.7,1.1,1.2,5.8,4.2,1.3,3.2,4.7,1.0,3.2
" "," ","05.2 Boligtekstiler",-1.9,2.2,0.6,1.1,3.1,1.8,3.1,-1.5,0.3,-0.1,3.0,4.0
" "," ","05.3 Husholdningsapparater og reparation heraf",-2.0,-2.1,0.2,0.3,-2.5,1.0,-1.0,0.3,0.3,-1.3,-1.3,-0.1
" "," ","05.4 Glas, service og husholdningsredskaber",0.7,2.9,1.2,1.1,1.3,4.0,1.3,3.5,2.3,1.6,0.4,-1.5
" "," ","05.5 Værktøj og udstyr til hus og have",-0.1,0.9,0.7,-0.6,-0.2,0.0,0.6,0.1,2.8,1.1,1.2,1.3
" "," ","05.6 Andre varer og tjenester til husholdningen",1.2,1.1,-0.3,1.1,0.8,0.4,0.3,0.0,0.5,-0.1,-0.4,-0.3
" "," ","06. Sundhed",0.8,0.6,0.7,0.7,0.7,0.6,0.2,-0.1,0.0,0.2,-0.1,-0.3
" "," ","06.1 Medicinske produkter, apparater og medicinsk udstyr",0.9,1.1,1.4,1.1,1.0,0.6,-0.8,-1.1,-0.5,-1.2,-2.8,-3.7
" "," ","06.2 Ambulant behandling",1.6,1.6,1.6,2.0,2.0,2.0,2.0,2.0,2.0,1.2,1.2,1.2
" "," ","06.3 Hospitalstjenester",0.5,0.3,0.3,0.3,0.3,0.3,0.0,-0.3,-0.3,0.3,0.3,0.3
" "," ","07. Transport",-1.9,-1.0,-0.4,0.1,0.9,-0.1,-0.1,-0.8,-1.5,-1.1,-0.9,-0.4
" "," ","07.1 Køb af køretøjer",1.0,0.6,0.6,0.4,0.4,0.0,0.0,-0.3,-0.6,-0.9,-0.1,-1.7
" "," ","07.2 Drift af personlige transportmidler",-5.8,-3.2,-1.8,-1.5,-1.0,-1.4,-1.2,-2.5,-4.4,-3.2,-2.7,-0.2
" "," ","07.3 Transporttjenester",1.2,0.7,-0.1,1.5,3.3,0.5,1.0,0.9,1.9,2.2,0.9,0.1
" "," ","08. Kommunikation",-3.2,-3.4,-2.2,-2.2,-2.4,-4.3,-4.0,-4.1,-4.5,-4.3,-3.8,-3.1
" "," ","08.1 Posttjenester",8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2
" "," ","08.2 Telefon- og telefaxudstyr",-9.5,-8.6,-6.6,-5.8,-3.2,-2.4,-2.1,-1.9,-1.7,-1.4,1.3,2.7
" "," ","08.3 Teletjenester",-3.2,-3.5,-2.4,-2.5,-3.0,-5.4,-5.0,-5.2,-5.6,-5.3,-5.0,-4.3
" "," ","09. Fritid og kultur",1.1,0.8,1.0,2.0,1.7,1.8,0.7,1.5,1.1,1.6,1.6,1.1
" "," ","09.1 Audiovisuelt og fotografisk udstyr og dataudstyr",-8.4,-6.9,-6.1,-4.6,-4.0,-4.3,-4.3,-5.2,-5.9,-6.7,-4.5,-4.0
" "," ","09.2 Andre større varige forbrugsgoder til fritids- og kulturaktiviteter",0.5,1.0,1.8,0.7,0.8,0.8,0.6,0.8,0.7,1.6,1.9,1.9
" "," ","09.3 Andet tilbehør og udstyr til fritid, haver og kæledyr",0.8,-0.8,-0.8,1.3,-0.1,-3.6,-3.0,-2.1,-3.3,-4.6,-3.9,-2.9
" "," ","09.4 Fritids- og kulturtjenester",1.7,1.9,2.0,1.7,1.8,1.7,1.7,1.7,1.5,1.9,2.0,2.1
" "," ","09.5 Aviser, bøger og papirvarer",12.9,5.1,8.8,13.9,12.6,18.1,6.9,14.7,15.3,20.6,15.8,10.0
" "," ","09.6 Pakkerejser",1.1,3.9,2.2,-0.7,-0.3,1.4,0.4,1.1,0.7,2.2,3.2,2.4
" "," ","10. Uddannelse",3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,4.9,4.9,4.9,4.9
" "," ","11. Restauranter og hoteller",1.4,1.4,1.7,1.6,1.5,1.4,0.8,1.0,1.0,0.7,0.6,0.7
" "," ","11.1 Restauranter, cafeer og kantiner mv.",1.4,1.7,1.7,1.7,1.7,1.8,0.9,0.9,0.7,0.5,0.5,0.4
" "," ","11.2 Overnatningsfaciliteter",0.7,-4.2,1.3,-0.2,-4.5,-9.4,-4.0,0.8,2.5,2.7,2.1,5.4
" "," ","12. Andre varer og tjenester",1.3,1.2,1.5,1.5,1.5,1.5,1.9,2.0,2.0,1.8,2.1,2.0
" "," ","12.1 Personlig pleje",0.0,-0.2,0.4,0.9,0.4,0.2,-0.2,0.0,-0.1,-1.2,0.6,-0.3
" "," ","12.3 Andre personlige effekter",1.3,1.3,1.3,0.4,0.6,0.6,1.7,1.8,1.8,1.2,0.7,0.7
" "," ","12.4 Daginstitutioner og social forsorg",0.4,0.4,1.0,1.0,1.0,1.0,1.0,1.3,1.3,1.3,1.3,1.3
" "," ","12.5 Forsikring",2.3,2.3,2.3,1.9,1.9,1.9,2.8,2.8,2.8,2.1,2.1,2.1
" "," ","12.6 Finansielle tjenester",4.6,4.6,4.6,4.1,4.3,4.3,8.5,8.5,8.5,9.7,9.7,9.7
" "," ","12.7 Andre tjenester",1.7,1.7,1.9,2.6,2.6,2.5,2.5,2.5,2.3,3.1,3.1,3.1
" ","250.000 - 449.999 kr."
" "," ","00 Forbrugerprisindekset i alt",-0.1,0.3,0.5,0.5,0.5,0.5,0.8,0.6,0.4,0.4,0.3,0.5
" "," ","01 Fødevarer og ikke-alkoholiske drikkevarer",0.2,0.3,1.1,1.3,1.0,1.2,0.8,0.7,1.4,1.2,0.6,1.0
" "," ","01.1 Fødevarer",0.5,0.1,1.1,1.1,1.3,1.8,1.0,1.0,1.5,1.3,0.9,1.7
" "," ","01.2 Ikke-alkoholiske drikkevarer",-2.4,1.0,1.3,2.6,-1.6,-3.0,-0.6,-1.7,0.4,1.0,-1.9,-4.3
" "," ","02. Alkoholiske drikkevarer og tobak",-0.4,-0.6,-0.2,0.1,0.3,-0.1,0.2,0.5,1.1,0.6,0.8,0.3
" "," ","02.1 Alkoholiske drikkevarer",-1.3,-2.1,-0.6,0.3,-0.2,-1.4,-0.6,0.2,2.1,0.4,1.2,0.1
" "," ","02.2 Tobak",0.0,0.1,0.1,0.1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5
" "," ","03. Beklædning og fodtøj",-1.8,-0.2,0.4,0.0,0.1,0.1,3.5,2.4,-0.4,0.2,-0.4,1.0
" "," ","03.1 Beklædning",-3.3,-1.7,-1.3,-1.4,-1.2,-1.7,1.7,0.7,-2.0,-1.2,-1.7,-0.3
" "," ","03.2 Fodtøj",5.4,8.0,8.6,6.6,5.6,7.3,10.2,8.5,6.3,6.5,5.5,6.6
" "," ","04. Boligbenyttelse, elektricitet og opvarmning",0.1,0.1,0.1,-0.1,0.0,-0.1,0.0,-0.2,0.0,-0.4,-0.4,-0.4
" "," ","04.1 Faktisk husleje",1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9
" "," ","04.2 Beregnet lejeværdi af bolig",1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
" "," ","04.3 Vedligeholdelse og reparation af bolig",2.0,2.3,1.0,1.5,2.6,1.9,1.1,1.4,0.7,2.0,2.5,2.0
" "," ","04.4 Vandforsyning og andre tjenester i forbindelse med boligen",-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
" "," ","04.5 Elektricitet, gas og andet brændsel",-5.1,-5.1,-4.9,-6.0,-5.7,-6.0,-5.7,-6.5,-5.5,-7.3,-7.5,-7.2
" "," ","05. Møbler, husholdningsudstyr og husholdningstjenester",-1.0,0.7,0.6,0.0,0.0,2.3,1.2,0.4,1.4,1.3,0.4,0.6
" "," ","05.1 Møbler og boligudstyr, tæpper og anden gulvbelægning",-2.3,2.0,2.5,0.4,1.0,5.2,3.8,1.6,3.4,4.5,1.2,2.9
" "," ","05.2 Boligtekstiler",0.0,2.2,0.1,-0.1,1.3,2.5,2.6,-1.8,0.0,-0.5,2.5,1.6
" "," ","05.3 Husholdningsapparater og reparation heraf",-3.5,-3.7,-1.6,-1.1,-3.5,-0.9,-1.5,-0.9,-0.6,-2.2,-1.6,-1.5
